timestamp,count,density,status,suggestion
2026-02-13 00:46:26,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:26,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:46:27,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:46:27,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:46:28,2,0.000005,NORMAL,Crowd under control.
2026-02-13 00:46:29,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:46:29,2,0.000005,NORMAL,Crowd under control.
2026-02-13 00:46:30,2,0.000005,NORMAL,Crowd under control.
2026-02-13 00:46:31,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:46:31,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:46:32,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:46:33,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:33,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:35,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:46:35,7,0.000017,NORMAL,Crowd under control.
2026-02-13 00:46:36,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:41,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:44,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:46,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:48,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:46:51,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:46:53,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:56,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:46:59,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:47:02,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:47:05,5,0.000012,NORMAL,Crowd under control.
2026-02-13 00:47:08,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:47:11,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:47:14,4,0.000010,NORMAL,Crowd under control.
2026-02-13 00:47:17,3,0.000007,NORMAL,Crowd under control.
2026-02-13 00:47:19,4,0.000010,NORMAL,Crowd under control.
